,Ratings,Comments_Title,Actual_Comment,Review_Date_place,Verified_or_Not?,Product_Color
0,5.0 out of 5 stars,Stop overthinking & trust me on this one - does more than just the job at a budget price!,"Ordered during Great Indian Festival.
Effective price after SBI Discount was Rs. 2250/-

I ordered this product after thorough research.
And I am happy that for this price, it exceeds my expectations.

Design - Similar to Nord Buds the first. But, both the gray and white colors have some faint dotted design over the case and the stem of the buds. Faint flue dots over white. I was not prepared for that, at first glance, it looks a little dusty but can be overlooked.
Both the case and buds are very lightweight and easy to carry.
However, what I found to be a downside is that the buds dont have any magnetic attraction between them, so while they're easy to place in the case, outside the case they can't be clubbed together.

Fit - Fits perfectly. No pain/discomfort. When I move my head from side to side, they stay put. I ran on the treadmill for a few minutes at 12kmph. They didn’t even budge. It didn’t feel like they would slip out. Which is great.

Call Quality - The thing I was most worried about. And it passes the test. I live on a quiet street though - The other person is able to hear me loud and clear, and sometimes, ambient sound is also audible to them but the volume of that sound is much lower than my voice so it is not bothersome. Even in busier surroundings, no one has complained about my call quality yet!

Audio Quality - I'm quite fond of listening to loud music. This does more than just justice to the loudness. I am more than happy listening at 50% volume. It’s definitely bass heavy. The quality of the sound is clear and crisp. I am very happy.

ANC - It was not a priority for me, however, I did try it. Noise cancellation is definitely very effective. It does as much as promised, not more. However, there is a faint hissing sound. But it doesn’t bother me when playing some music or audio.

Hey Melody - Its NOT detecting my earbuds yet lol. I'm an apple user. Let's see I'll try pairing it properly.

Switching between devices - Unpair with one to pair with another. Not much of a hassle though, its fairly quick. And it automatically pairs with my phone as soon as I take it out of the case.

Battery Life - Yet to be explored! I’m someone who carries all my chargers on the go and tend to keep all my devices well charged, so I don’t think I’ll be able to face much issue.

My Personal Reasons why I didn't go for Buds Z2 even though my budget was flexible -

1. In Ear Detection - if it goes haywire, I don't think there's an option to turn it off.
2. Glossy finish - I was afraid it would slip out.
3. It was released in 2021. About time we got a Z3, no?

Reasons why I wanted Z2 -

1. 3 mics
2. Google pairing - easy switch between devices
3. More premium product

Am I happy I went with this and not with Z2 - MOST DEFINITELY YES!!!",Reviewed in India on 10 October 2023,Verified Purchase,Colour: Lightning WhiteSize: Extra LargeStyle Name: Nord Buds 2
1,4.0 out of 5 stars,Surprised me in the price range,"After 3 years of extremely rough use knockoff Chinese wireless Bluetooth earbud kicked the bucket. Earbud, because one of them still work(and people say Chinese tech is poorly made). At the time of buying those knockoff earbuds it was around the same price as these One Plus Nord Buds 2 price range, actually I believe it was slightly cheaper(I cannot for the life of me remember). I am not a heavy earbuds user, I mostly use it to listen to podcasts in the morning and pair it with my laptop to listen to music while I work at night. The buds seldom leave the vicinity of my work desk at home, no exposure to the elements of nature and no exposure to sweat. I clean my earbuds regularly. That being said I do listen to a wide range of music, I'm no audiophile, but can identify change in quality in the listening device.

With that in mind, these earbuds offer an okay sound quality, hence why I gave it 4 stars, the sound quality is clear and don't have much noise, the trebles are well balanced so as to not rupture your eardrums, but the bass is overblown which is why I gave it 3 stars. The bass drowns out the other sounds, and overwhelms your ear. Especially if you are listening to an orchestral piece, you'll struggle appreciate the individual artists. This can be solved with software to a certain extent. By using the ""HeyMelody"" app you can configure your OnePlus Nord Buds 2. You can use pre configured sound profiles like Balanced, Bold, Serenade, or Bass. There is also the BassWave option which allows you to adjust the clarity and fidelity of the bass via software. If you are still unsatisfied you can configure your own custom profile by adding an equalizer and creating the ideal audio setup.

Now one of the more attractive feature of these buds I have seen from other buyers is the ANC at this price point. Honestly I don't really use the feature that much, mostly because I like to be aware of my surroundings and not get completely immersed in whatever I'm doing on the computer/phone. But the ANC works kinda well? I mean it's not the same as Apple's ANC, but for 3k you should temper your expectations. By holding down on the touch gesture surface on the ear buds or by going into the app on your phone you can enable ANC. It was able to completely tune out the ambient buzzing sound of my Air Conditioning, which is old and loud, so I think the ANC is very good. The only thing is when there is no audio playing you'll hear a hissing or buzzing sound if you have ANC enabled. It's not super annoying, but that is just my personal opinion.

As for battery backup, I have managed to go 2 days without charging the buds, but this is with light usage. It still has 90% left even after I have used it for 2 days so I think the battery backup is good. The case is sturdy and the buds fall into place within the case magnetically. Bluetooth connectivity is seamless and that's all I have to say about the buds.

I have however talked to people that bought these buds as a part of expanding their OnePlus ecosystem, and they claim that these buds are amazing when paired with their OnePlus phone or OnePlus tablet. I wouldn't know, I don't believe in ecosystems.

But people, for 3k this is totally worth the price. Haven't met with any issues till now, if I do I'll make sure to update this review. Cheers",Reviewed in India on 2 July 2023,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
2,5.0 out of 5 stars,The buds are good at the price range,"The Nord buds 2r is best when compared in its own company don't buy Nord buds 2 they have the same things as this bud have they only have 1 extra feature of noise cancellation.the fitting is ,And sound quality good the case quality is best I think I dropped it accidentally 1-2 times and it was fine if you get it at a price of 1499 after bank discounts then it is a value for money",Reviewed in India on 17 December 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
3,5.0 out of 5 stars,Good product worth it,"Definately buy it .. good touch control and gaming abality mic quality to good i used it for hours and hours performance is too good
I Use it for study and gaming too....
Good product worth for money",Reviewed in India on 17 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
4,5.0 out of 5 stars,"Good call quality, Good Battery Backup, Good Sound.","Good call quality, Good Battery Backup, Good Sound. overall work for me",Reviewed in India on 19 December 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
5,4.0 out of 5 stars,Go for it without any second thought if you are looking for a budget friendly buds,"I purchased these earbuds last year and undoubtedly after one year of use I would say I am happy about these earbuds. I was looking for a budget friendly earbuds with ANC along with good music quality as I am a frequent music listner. The first thing I want to mention about ANC that is excellent for this price range you can't ask more with such affordable price, second is the sound quality again as per this price range it is phenomenal with great balance bass and punchy beats and if you turn ON ANC and listen music then it's gives one of the best sound quality.Third is battery life ,when I bought these buds it was giving 4 5 hours average backup as generally no body continuously use for 4 5 hours unless you are not traveling. But after 6 7 months battery backup started falling slightly that is quite understanding and ok cause there was no drastic fall in the backup. You can again recharge as the case charging itself last for 10 hours so overall you can expect 7 8 hours backup with the case. Fourth is the call quality I will not say that call quality is excellent because as a regular user what I realised you can't expect any wireless earbuds to be excellent in the call quality like we listen over regular phone mic. But I will say the call quality is up to the mark it is not complete worse and if you want everything at best level obviously you have to pay more price. There is one more feature I found it useful lost bud sound that is quite loud if you lost your earbuds but the problem is the buds should be connected with the phone.
Last but not the least unfortunate I lost these earbuds 1 week ago so I thought why shouldn't I give me honest review whoever want to purchase a best buy within affordable price range.
Final review is go for it if you want to have an Excellent earbuds within pocket friendly range everything do justice with the prices it comes with. If you want to still do the complaints then spend some amount.",Reviewed in India on 30 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
6,3.0 out of 5 stars,It's OK,"These earbuds offer great value at 1699. If you don't require ANC or in-ear detection, you should consider them.

Pros:
1. Brand These earbuds offer great value at 1699. If you don't require ANC or in-ear detection, you should consider them.

Pros:
1. Brand Value
2. Strong bass
3. Customizable touch controls

Cons:
1. No ANC
2. No in-ear detection
2. Strong bass
3. Customizable touch controls

Cons:
1. No ANC
2. No in-ear detection",Reviewed in India on 5 December 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
7,4.0 out of 5 stars,Worth the price,"I bought this product recently. Used it full-fledged for about 10 days. I am using this product with realme gt2 pro.

Lets talk about cons first

1. Ear comfort of this product is ok but not
great. Using more than 1 hr ear
starts to hurt and painful. You need to
remove buds from ear and then keep
again to tackle the pain. I tried other ear
tips which comes in the box. tried small
ear tips which made comfort even worse
and painful.

2 when audio is paused you will hear some
kind of gizzz sound which is very
annoying may be it is to handle outside
sound it seems. In transparency mode
gizz sound is less as you will hear outside
noise. When your not playing anything
keep buds aside or in the box donot
keep in ears. Trust me you will definitely
feel discomfort.

3 ANC - Active Noise Cancellation is
working good but not great. You can still
hear outside noises. But it does have
difference. 50 percent of noises will be
reduced but not complete isolation.

4 Hey Melody App. when phone bluetooth
is on buds will automatically pairs which
is great but when you go into app it still
shows select device to connect. But from
bluetooth settings i am able to select
and configure the product. I feel if device
is connected app should atleast show it
is connected.

Pros
1. Sound Quality is great.

2. Bass is great.

3. Switching with between multiple device
is great as it wont automatically shift to
other device and you have to touch and
hold long to shift and continue using. It
can be configure from app.

4. Battery backup is good.

5. Having ANC in this price is great.

6. Ear fitting is great. It wont fall from the
ear.

Hope this review helps..!!",Reviewed in India on 20 May 2023,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
8,4.0 out of 5 stars,Left earbud causing problems,"Works fine ,sound is good, no dedicated app for phones other than OnePlus is a disappointment. Need 3rd party app(hey melody from Google app store).
Bluetooth connectivity is fine,But sometimes left earbud doesn't connect after 6 months.
Also left earbud after 7 months sometimes doesn't charge and dies on u, so u have to put it back and charge again, it's rare but it's starting to happen.
Overall for the price it's worth it & just fine .",Reviewed in India on 17 December 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
9,4.0 out of 5 stars,Great deal for Best Price,"I have been using for week now for work calls , listening music , watching movies and Phone calls
Pros-
Good sound quality I would say at this price and considering one plus brand value .
Build quality is great
Most liked part is battery backup
Bluetooth connectivity works amazing
Charging speed is Good

Cons-
Noise cancellation works well if there is very moderate background noise .
Noise cancellation during call could have been better configured (only if background noise is heavy)",Reviewed in India on 7 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
